id,stockcardid,reasonid,occurreddate,processeddate,quantity,userid,origineventid
a962d769-c84f-4ce1-a341-a70c7843acb2,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-01,2017-11-28T03:23:00Z,6,7dbb5944-3ee1-4daf-be11-a51dc8b253d5,ad837d5d-e703-41ab-9a37-dbffc9209f0d
e9c40407-116a-4b34-b7de-d561f5596780,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-02,2017-11-02T10:31:00Z,1,4b9c670a-4489-4ecc-a34b-f3ec0ce0fb3b,ad837d5d-e703-41ab-9a37-dbffc9209f0d
4b3d1b81-7d2e-4e92-a3c5-da2045206f9c,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-03,2017-10-15T00:33:00Z,2,162505d4-e164-4f78-a3be-47e336b0115e,ad837d5d-e703-41ab-9a37-dbffc9209f0d
097c8bd8-4c1d-46b8-b934-3b2f4b87c4c1,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-03,2017-10-25T07:20:00Z,6,7dbb5944-3ee1-4daf-be11-a51dc8b253d5,ad837d5d-e703-41ab-9a37-dbffc9209f0d
0e25470e-f84a-495f-acaa-88a6b49bae4a,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-03,2017-11-24T00:01:00Z,10,21441ccc-f4b2-4ba2-9162-c7fc90fe73c0,5eda2982-678a-4b7b-b5d2-cd58d8b18075
77d5e5f7-e2b0-4821-b8d7-9dc0f1680e56,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-04,2017-11-29T23:01:00Z,4,67b53cfe-568e-4c35-a8b6-b838954fd07b,5eda2982-678a-4b7b-b5d2-cd58d8b18075
2527e432-7a7b-471b-8f5e-4bcd305c8620,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-05,2017-10-25T14:37:00Z,6,8630588f-45f9-4e53-ba1c-0a60579ffb7c,ad837d5d-e703-41ab-9a37-dbffc9209f0d
615d187b-4906-4dc9-ad32-c95ae3d8ffd7,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-05,2017-11-22T07:27:00Z,5,df019728-6bbe-4418-b018-f93a18ff46ae,5eda2982-678a-4b7b-b5d2-cd58d8b18075
f8590a01-e1ce-49f6-8be3-04a9af97d7d4,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-06,2017-10-10T01:53:00Z,3,1b479f65-dc06-4db4-9564-e6af80665d8c,ad837d5d-e703-41ab-9a37-dbffc9209f0d
22520176-1eef-410c-ba76-29491e1944c4,01f8d9e9-1a6e-4c35-8317-fb772063d16f,e3fc3cf3-da18-44b0-a220-77c985202e06,2017-09-08,2017-11-20T07:38:00Z,7,ba5f7ace-d9ca-4bba-a0e1-a5ffb9e9c2ca,5eda2982-678a-4b7b-b5d2-cd58d8b18075
