id,destinationFreeText,documentNumber,occurredDate,processedDate,reasonFreeText,signature,sourceFreeText,userId,destinationId,originEventId,reasonId,quantity,sourceId,stockCardId
3ca4ce3e-b00e-4cab-9b2e-2c23f6dc148c,,,2017-01-31,2017-10-11 02:26:49.886,,,,1e3b03a5-1d48-4de1-bb4a-389beece2277,,1eb9ba25-92e6-447f-a25e-8856bd340f22,,50,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
fe5366e9-041d-4d31-8021-d8df55ca8648,,,2017-09-01,2017-10-22 20:11:56,,,,43ac7e49-8859-41f7-a1cb-e3ac7b87f9b3,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,e3fc3cf3-da18-44b0-a220-77c985202e06,70,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
7821e833-1e4b-49b6-b717-8cba255a7f88,,,2017-09-02,2017-11-06 01:25:53,,,,259c2639-7b5c-4c55-a410-475311fdc5bf,,ad837d5d-e703-41ab-9a37-dbffc9209f0d,c1fc3cf3-da18-44b0-a220-77c985202e06,3,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
5eb7de39-b03d-49f2-af97-4ed9c3f4f3e6,,,2017-09-03,2017-09-15 23:04:17,,,,7d8afb34-4a68-444f-93bd-d062861f0a1c,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,3e7940db-49a5-492f-a4eb-75acb981dd2b,2,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
55394dfa-801f-4d4d-916e-e3623f5e037e,,,2017-09-04,2017-10-01 08:25:22,,,,d6135bbe-ef25-4f0e-9b3a-35efb505e2c7,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,3e7940db-49a5-492f-a4eb-75acb981dd2b,9,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
fbd52fb9-00fb-48a4-aa15-7083ad526133,,,2017-09-04,2017-10-03 15:06:52,,,,da98b3f4-b008-41fd-9437-8ab3702dc6e5,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,313f2f5f-0c22-4626-8c49-3554ef763de3,10,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
066e12dc-5e2d-4e22-9402-0450d13cd41b,,,2017-09-05,2017-11-20 10:14:07,,,,a20abe81-bc7b-499e-a5b4-b4f49cedb18f,,ad837d5d-e703-41ab-9a37-dbffc9209f0d,30f6002d-a78d-44db-b2b9-46e76795a188,8,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
0577e18e-10f9-40f8-ac6b-59d38524926f,,,2017-09-06,2017-09-24 07:03:08,,,,bd6df702-fac2-48b2-b615-683f7204793a,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,279d55bd-42e3-438c-a63d-9c021b185dae,40,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
f5ced2ba-1bbc-409d-acce-d7d99352d04b,,,2017-09-06,2017-10-27 01:28:51,,,,0a7be35c-f06e-403b-b01e-ee769cff2db3,,ad837d5d-e703-41ab-9a37-dbffc9209f0d,c1fc3cf3-da18-44b0-a220-77c985202e06,6,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
961086c6-bfa0-42f4-a923-158407d1acc6,,,2017-09-06,2017-10-30 23:47:51,,,,188b0d49-6ff3-4f6d-acb0-6fda784c14ec,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,b5c27da7-bdda-4790-925a-9484c5dfb594,4,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
96a0ddec-d9f1-4a61-8bfa-1ea4d5c0446a,,,2017-09-06,2017-11-11 05:41:16,,,,8b807a21-5bd5-4dca-a673-99b0f03b9e45,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,b7e99f5b-af04-433d-9c30-d4f90c60c47b,5,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
b8dfc658-4eac-4897-bd62-374ef8f1178d,,,2017-09-07,2017-09-15 22:41:41,,,,41688257-7505-472a-bdc6-cab678955043,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,09e1d05d-f736-4834-9346-c27196a99eae,2,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
399d4f6f-f3ad-4bc8-befd-ad22c77e772c,,,2017-09-08,2017-10-31 15:42:09,,,,4b9c670a-4489-4ecc-a34b-f3ec0ce0fb3b,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,c1fc3cf3-da18-44b0-a220-77c985202e06,3,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
836cd31a-fe6c-4b77-9e28-c5d50c1c805d,,,2017-09-10,2017-10-02 04:53:05,,,,57589c6d-d4b3-429e-931c-921a043f929d,,ad837d5d-e703-41ab-9a37-dbffc9209f0d,e3fc3cf3-da18-44b0-a220-77c985202e06,80,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
dc2ec581-0d6c-4c86-88a5-bff5ffeee6c1,,,2017-09-11,2017-10-03 14:55:18,,,,0b8c7f0d-156c-4c01-b1a2-68ef1316ebef,,5eda2982-678a-4b7b-b5d2-cd58d8b18075,6f8d0431-6ec5-4280-9019-c6024b168b23,6,,01f8d9e9-1a6e-4c35-8317-fb772063d16f
